uid,study,longitude_study,latitude_study,pack_id,denning_date,denning_doy,denned,fall_tmax,summer_tmax_prev1,winter_tmax,fall_prcp,summer_prcp_prev1,winter_swe,tiNDVI_prev1,annual_pdo,annual_ao,sos_prev1,los_prev1,latitude_individual
100,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,50,2010-05-16,136,1,1,16,-8,117,223,104,13.21670532,-0.6125,-0.330333333,132.2655029,18.75396061,63.2524965
101,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,51,2014-05-10,130,1,3,17,-4,273,250,68,12.2355895,-0.5175,0.001,151.7714844,15.75175619,63.434072
102,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,52,2012-05-21,142,1,1,14,-11,119,318,128,13.97812748,-1.230833333,0.525666667,132.2949219,20.47143936,63.193574
103,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,52,2015-05-12,132,1,0,14,-4,168,456,132,11.97880173,1.130833333,-0.066666667,132.1723633,18.12861633,63.25267902
104,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,52,2016-05-15,136,1,2,16,-3,307.5,414,52,12.48510408,1.634166667,0.629583333,128.1298828,17.35967255,63.273901
105,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,53,2013-05-05,125,1,-2,20,-9,127,247,88,14.53571796,-1.1,-0.1815,120.2304688,21.41965485,63.87336119
106,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,53,2014-04-29,119,1,3,22,-6,206,153,44,13.38520908,-0.5175,0.001,141.2382813,19.86852837,63.88185
107,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,53,2016-05-06,127,1,2,19,-6,216,216,36,13.67285061,1.634166667,0.629583333,116.4848633,20.15716648,63.77427
108,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,54,2009-03-25,84,1,-4,18,-9,142,223,92,12.95927715,-1.2925,0.176833333,130.8273926,19.05230522,63.544358
109,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,54,2010-04-27,117,1,3,19,-10,83,160,56,14.36235714,-0.6125,-0.330333333,124.0671387,22.06470871,63.546166
110,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,54,2011-05-17,137,1,1,15,-7,164,381,160,15.01180172,-0.3125,-1.04275,120.7932129,22.21150017,62.99380496
111,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,55,2012-05-13,134,1,1,14,-11,90,287,120,13.41761684,-1.230833333,0.525666667,138.4672852,19.25792694,63.44942
112,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,56,2006-05-05,125,1,1,22,-9,191,184,32,13.83516788,0.375,-0.37525,124.7801514,20.07367897,63.628278
113,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,57,2005-05-12,132,1,0,21,-4,188,168,128,12.82821083,0.345,-0.192333333,133.367981,16.18787479,63.68050599
114,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,57,2007-05-05,125,1,3,14,-11,90,346,96,11.41273022,0.190833333,0.13775,142.2353516,17.39044571,63.512956
115,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,57,2008-04-27,118,1,0,17,-9,147,248,126,13.35752916,-0.195833333,0.26875,128.0942383,18.26301861,63.679438
116,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,57,2010-05-05,125,1,1,16,-9,67,177,72,13.32501173,-0.6125,-0.330333333,133.293335,18.53198719,63.51312
117,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,57,2011-06-08,159,1,0,15,-7,116,406,120,15.25674486,-0.3125,-1.04275,123.9355469,21.35910225,64.044133
118,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,57,2012-05-13,134,1,1,16,-14,76,202,56,13.43547249,-1.230833333,0.525666667,139.6455078,19.15332031,63.939536
119,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,57,2013-04-16,106,1,-4,16,-7,128,299,92,13.40807629,-1.1,-0.1815,137.8435059,17.92069912,63.744864
120,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,57,2014-05-01,121,1,3,18,-5,181,210,56,12.13427353,-0.5175,0.001,152.2116699,15.90174007,63.85061
121,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,57,2015-04-26,116,1,0,16,-4,121,358,68,12.96724176,1.130833333,-0.066666667,121.9516602,19.52537537,63.861796
122,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,57,2016-04-27,118,1,2,16,-4,225,376,40,13.16869259,1.634166667,0.629583333,125.8671875,17.63374138,63.7563914
123,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,58,2007-04-02,92,1,3,14,-10,107,391,128,11.52598953,0.190833333,0.13775,142.5488281,17.41718578,63.2787
124,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,59,2016-05-06,127,1,2,13,-2,326,525.5,52,10.54775238,1.634166667,0.629583333,141.84375,14.84796906,63.27245
125,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,60,2004-04-21,112,1,1,15,-9,139,388,144,12.03324509,0.969166667,0.152083333,148.1246338,19.09357834,63.693696
126,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,60,2005-04-27,117,1,0,19,-4,137,178,96,11.37667751,0.345,-0.192333333,139.5395508,15.19939327,63.6951915
127,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,60,2006-04-28,118,1,0,17,-11,186,235,52,12.74364567,0.375,-0.37525,145.1166992,17.94329453,63.695817
128,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,60,2007-05-19,139,1,2,12,-12,86,292,52,10.09737968,0.190833333,0.13775,146.9787598,15.66229725,63.696005
129,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,60,2008-05-03,124,1,0,18,-8,87,226,88,12.97737122,-0.195833333,0.26875,125.4287109,18.52227879,63.828667
130,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,60,2009-05-15,135,1,-4,15,-10,91,327,64,11.8894558,-1.2925,0.176833333,138.4470215,16.58493805,63.82842497
131,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,61,2015-05-09,129,1,0,14,-4,102,411,96,12.37830257,1.130833333,-0.066666667,133.5964355,17.67663479,63.512778
132,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,61,2016-05-09,130,1,2,15,-3,279,473,44,12.08957911,1.634166667,0.629583333,131.965332,15.85334873,63.51298
133,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,62,2011-05-17,137,1,1,14,-8,80,294,136,12.94293118,-0.3125,-1.04275,140.286377,19.02679634,63.71769323
134,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,62,2012-05-14,135,1,0,13,-11,75,233,128,10.90259361,-1.230833333,0.525666667,145.0419922,17.14203262,63.72003641
135,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,63,2010-05-12,132,1,3,20,-10,75,145,48,14.65450668,-0.6125,-0.330333333,126.34375,22.23299408,63.50275073
136,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,64,2015-05-07,127,1,0,14,-4,112,374,68,11.0233593,1.130833333,-0.066666667,139.3891602,16.51513672,63.71757
137,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,64,2016-05-06,127,1,2,15,-2,259,453,52,11.18354511,1.634166667,0.629583333,134.5566406,15.51445389,63.654141
138,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,65,2007-05-20,140,1,3,15,-10,155,327,228,11.35459805,0.190833333,0.13775,143.2834473,17.28337097,62.99428635
139,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,65,2008-05-10,131,1,0,17,-8,251,239,258,13.38521957,-0.195833333,0.26875,114.6993408,19.97778988,63.01414598
140,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,65,2011-05-12,132,1,2,19,-6,137,240,172,14.90831566,-0.3125,-1.04275,118.9370117,22.73716354,63.004
141,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,65,2015-05-27,147,1,1,18,-6,53,280,60,14.21033669,1.130833333,-0.066666667,117.8947754,21.43418312,63.31331304
142,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,65,2016-05-16,137,1,3,19,-5,208,206,32,15.23374748,1.634166667,0.629583333,117.484375,22.1765604,63.35248
